Plot,Total,Dead,Ash,Buckthorn,Blackcherry,Boxelder,Americanelm,Redoak,Whiteoak,Redpine,Whitepine,Otherbroadleaf,Otherneedles,AGB,BA,DBH,Ht,CL,CW,C,C_sd,Cellulose,Cellulose_sd,Fiber,Fiber_sd,Lig,Lig_sd,LMA,LMA_sd,N,N_sd,NDVI,NDVI_sd,PRI,PRI_sd,NDWI,NDWI_sd,NDII,NDII_sd
MV72,34.67,7.33,0.00,7.35,3.99,0.00,0.00,9.33,0.00,0.00,0.00,6.66,0.00,147.02,28.46,30.22,20.23,11.43,13.46,48.86,0.42,15.45,1.19,34.29,2.90,21.91,2.07,86.71,11.88,2.90,0.16,0.92,0.01,-0.04,0.01,0.15,0.01,0.45,0.03
MV73,32.00,5.33,0.00,1.34,6.02,2.02,2.02,0.67,10.66,0.00,0.00,4.03,0.00,181.34,30.63,36.12,23.27,13.93,17.99,49.35,0.58,18.16,1.74,41.99,4.12,24.48,2.93,133.26,17.75,1.74,0.21,0.96,0.01,0.02,0.02,0.26,0.09,0.61,0.10
MV74,40.00,7.33,0.00,0.68,2.00,0.00,5.32,2.68,21.32,0.00,0.00,0.68,0.00,198.10,31.22,38.10,23.71,14.29,16.28,49.15,0.36,16.08,1.01,35.73,2.53,22.54,1.77,92.19,9.49,2.87,0.13,0.92,0.00,-0.05,0.00,0.15,0.01,0.46,0.02
MV75,41.33,2.67,0.00,1.32,8.68,10.00,0.00,5.33,11.33,0.00,0.00,1.98,0.00,157.79,30.95,34.61,22.57,13.19,14.44,49.11,0.46,16.07,1.40,34.81,3.36,21.65,2.42,88.21,13.55,2.96,0.18,0.93,0.00,-0.05,0.02,0.17,0.01,0.50,0.01
MV76,22.67,0.67,0.00,1.34,6.01,1.34,0.66,1.99,1.99,0.00,0.00,8.66,0.00,185.34,30.68,35.83,22.86,13.76,16.12,49.16,0.43,15.84,1.32,35.75,3.05,22.36,2.25,91.08,12.29,2.82,0.15,0.93,0.00,-0.05,0.00,0.17,0.01,0.49,0.01
MV77,29.33,5.33,0.00,5.34,3.34,1.32,0.67,4.66,1.32,0.00,0.00,7.36,0.00,194.00,26.79,38.25,23.19,14.87,14.91,48.87,0.52,16.24,1.56,35.72,3.70,22.41,2.64,90.82,14.50,2.85,0.18,0.93,0.01,-0.05,0.01,0.16,0.02,0.46,0.05
MV78,33.33,2.00,0.67,2.67,4.67,0.67,0.67,0.67,20.67,0.00,0.00,0.67,0.00,179.51,23.25,42.09,22.98,16.64,12.18,49.16,0.61,17.63,1.91,40.70,4.38,24.08,3.16,133.80,20.06,1.56,0.24,0.94,0.02,0.03,0.06,0.34,0.04,0.66,0.01
MV79,29.33,2.00,0.00,0.00,1.99,0.67,1.99,0.00,21.33,0.00,0.00,1.35,0.00,178.74,19.17,51.49,24.09,21.52,12.06,49.02,0.66,17.87,2.03,41.69,4.76,24.32,3.38,133.87,21.90,1.55,0.26,0.97,0.01,0.06,0.03,0.35,0.01,0.66,0.00
MV80,26.67,4.00,0.67,1.33,0.00,2.00,0.00,0.00,0.00,0.00,0.00,18.67,0.00,140.57,13.41,49.24,23.38,21.50,11.82,48.31,0.58,15.44,1.57,32.69,3.86,20.81,2.62,85.23,15.34,3.15,0.21,0.93,0.00,-0.04,0.00,0.18,0.00,0.51,0.01
MV81,36.00,1.33,0.68,0.00,1.33,0.00,0.00,0.00,2.02,0.00,0.00,30.71,0.00,180.60,16.39,56.15,25.09,24.74,12.06,48.23,0.58,15.50,1.53,32.12,3.90,21.00,2.61,63.81,14.99,3.32,0.21,0.94,0.00,-0.04,0.01,0.18,0.01,0.49,0.01
MV82,38.00,4.67,2.01,0.00,1.33,1.33,2.01,0.00,0.00,0.00,0.00,25.42,1.33,175.23,25.03,45.45,25.01,18.33,12.18,48.78,0.54,16.86,1.61,36.84,3.77,21.98,2.68,111.20,15.42,2.41,0.19,0.93,0.01,-0.02,0.02,0.24,0.04,0.58,0.05
MV83,38.67,5.33,0.66,4.68,3.33,3.33,0.00,0.00,0.00,0.00,0.00,21.31,0.00,137.51,21.19,39.04,20.30,15.40,10.70,48.81,0.47,15.51,1.45,36.21,3.35,22.53,2.27,91.85,13.97,3.25,0.18,0.92,0.01,-0.04,0.01,0.15,0.02,0.44,0.03
MV84,25.33,0.00,3.34,0.00,2.66,7.32,0.00,0.00,0.00,0.00,0.00,12.01,0.00,149.61,23.80,39.82,21.37,15.75,11.82,48.40,0.62,15.07,1.82,29.92,4.42,18.46,3.06,76.37,19.02,3.10,0.24,0.91,0.00,-0.04,0.00,0.20,0.02,0.52,0.03
MV85,32.00,2.67,0.00,0.67,2.66,0.00,2.02,9.34,10.66,0.00,0.00,4.03,0.00,170.76,20.25,48.12,22.92,18.59,11.59,48.95,0.42,15.69,1.19,34.70,2.98,21.77,2.08,88.63,11.24,2.93,0.15,0.92,0.00,-0.04,0.00,0.15,0.01,0.46,0.01
MV86,28.67,10.00,0.00,0.66,2.01,2.01,2.67,3.33,2.67,0.00,0.00,5.33,0.00,184.13,21.21,47.92,23.52,19.42,13.74,49.10,0.36,16.24,0.95,37.81,2.34,23.94,1.61,95.24,9.33,2.91,0.11,0.91,0.01,-0.04,0.00,0.12,0.02,0.40,0.03
MV87,32.67,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.99,0.65,169.24,21.54,42.84,21.56,16.97,12.06,47.91,0.92,16.46,2.57,29.82,6.49,20.14,4.40,93.42,27.25,2.74,0.35,0.93,0.01,-0.07,0.00,0.24,0.01,0.56,0.01
MV88,34.00,3.33,7.99,0.00,2.01,0.68,0.00,5.34,0.00,2.01,0.00,12.00,0.68,164.86,23.41,42.99,22.99,17.19,12.30,48.66,0.54,14.67,1.56,33.50,3.89,21.43,2.70,95.09,16.19,3.08,0.22,0.94,0.01,-0.06,0.01,0.17,0.02,0.48,0.02
MV89,33.33,1.33,0.67,0.00,0.00,3.33,1.33,0.67,2.00,0.00,0.00,22.00,2.00,163.46,19.36,38.71,21.53,15.95,13.46,47.86,0.79,14.56,2.14,31.69,5.31,20.42,3.72,99.82,21.92,2.95,0.30,0.94,0.01,-0.06,0.01,0.19,0.02,0.51,0.02
MV90,38.67,2.00,1.31,2.01,0.00,1.31,0.00,0.00,0.00,1.31,0.00,6.65,24.01,129.05,29.63,27.87,17.31,10.25,9.68,48.70,0.51,15.25,1.36,33.51,3.44,21.59,2.43,106.01,14.32,2.56,0.18,0.89,0.03,-0.07,0.00,0.15,0.06,0.43,0.08
MV91,28.67,5.33,0.66,0.00,1.35,0.00,2.01,0.66,2.67,0.00,0.00,14.68,1.35,191.46,23.07,42.54,23.53,17.46,14.59,48.56,0.57,15.49,1.72,35.36,4.15,22.16,2.92,97.54,16.65,2.92,0.23,0.94,0.00,-0.06,0.01,0.17,0.01,0.46,0.02
MV92,25.33,0.67,0.00,1.34,16.01,0.00,0.00,0.00,0.00,0.00,5.35,2.00,0.00,107.17,27.94,21.48,13.87,7.66,9.58,49.21,0.50,16.81,1.35,38.02,3.32,24.14,2.35,132.01,14.39,2.33,0.18,0.93,0.00,-0.05,0.01,0.20,0.01,0.52,0.01
MV93,46.67,0.67,0.00,2.01,0.65,0.00,0.00,0.00,0.00,0.00,36.68,6.63,0.00,142.15,31.73,30.90,20.51,10.87,8.41,49.39,0.40,16.78,1.09,38.25,2.75,23.09,1.94,147.83,10.44,1.86,0.14,0.91,0.00,-0.04,0.01,0.20,0.00,0.55,0.00
MV94,40.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,31.32,2.68,2.00,0.00,124.82,40.69,25.79,17.65,6.62,7.39,49.83,0.58,18.56,1.58,43.69,3.92,26.85,2.80,192.41,16.76,1.58,0.23,0.89,0.00,-0.05,0.00,0.23,0.01,0.59,0.01
MV95,36.67,0.67,0.66,0.00,0.66,0.00,0.00,0.00,0.00,0.00,15.33,1.32,18.00,123.99,36.30,23.36,16.01,8.31,7.03,49.47,0.48,16.75,1.31,40.35,3.20,24.54,2.39,164.32,13.73,1.72,0.17,0.91,0.01,-0.06,0.01,0.19,0.01,0.53,0.01
MV98,22.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.66,0.00,193.10,21.74,35.26,18.95,13.35,14.15,48.19,0.79,16.03,2.16,30.15,5.44,20.56,3.69,84.67,24.04,2.80,0.30,0.93,0.01,-0.06,0.00,0.20,0.03,0.52,0.03
MV99,47.33,5.33,0.00,9.32,0.66,1.33,0.00,0.00,0.00,0.00,0.00,30.67,0.00,111.93,28.21,29.38,19.17,11.25,9.03,49.04,0.39,16.02,1.12,36.07,2.60,22.54,1.78,95.34,11.44,3.01,0.14,0.90,0.01,-0.03,0.01,0.14,0.02,0.42,0.04
MV100,48.00,4.00,0.00,0.00,1.34,0.00,0.67,24.00,2.02,0.00,0.00,15.98,0.00,222.52,23.46,39.22,21.89,15.44,14.01,48.98,0.43,15.23,1.28,34.11,3.14,21.08,2.21,96.64,12.90,2.98,0.17,0.93,0.00,-0.06,0.01,0.16,0.01,0.47,0.01
MV101,35.33,2.67,0.00,0.00,2.01,0.00,0.00,0.00,20.67,0.00,0.00,10.00,0.00,205.92,34.12,42.20,25.62,16.14,13.33,48.90,0.47,15.12,1.45,34.51,3.41,21.61,2.45,84.10,13.93,3.08,0.18,0.94,0.00,-0.04,0.01,0.16,0.01,0.48,0.00
MV102,27.33,0.67,0.00,0.00,3.33,0.00,0.00,0.00,10.66,0.00,0.00,12.66,0.00,194.98,35.40,36.02,23.22,13.11,12.55,48.91,0.52,14.23,1.67,33.38,3.85,20.45,2.90,87.78,16.00,2.94,0.20,0.94,0.01,-0.06,0.01,0.16,0.01,0.48,0.03
MV103,32.67,0.67,1.34,0.00,3.99,0.65,1.34,0.00,14.67,0.00,0.00,10.00,0.00,204.52,35.31,44.02,26.60,16.17,12.55,48.88,0.46,15.49,1.37,35.71,3.27,22.64,2.34,92.27,13.12,2.97,0.17,0.94,0.00,-0.06,0.01,0.16,0.01,0.47,0.03
MV104,30.67,2.00,0.00,0.00,1.32,0.67,0.00,1.32,9.32,0.00,0.00,16.01,0.00,170.88,24.97,41.02,24.27,16.70,12.55,49.01,0.48,16.04,1.37,36.01,3.40,22.72,2.41,100.80,13.20,2.80,0.18,0.93,0.00,-0.06,0.00,0.17,0.00,0.49,0.01
MV105,23.33,2.00,0.00,0.00,3.99,0.00,0.00,0.68,2.66,0.00,0.00,14.02,0.00,185.32,35.94,36.87,23.71,13.33,12.30,48.87,0.54,14.52,1.73,34.09,4.15,21.50,3.02,92.05,17.02,2.91,0.22,0.94,0.00,-0.06,0.00,0.16,0.01,0.48,0.02
MV106,21.33,1.33,0.00,0.66,0.66,0.00,0.00,0.00,10.01,0.00,0.00,8.66,0.00,184.22,29.09,38.82,24.28,15.36,13.46,48.99,0.47,15.45,1.45,35.43,3.38,22.59,2.47,86.85,14.00,2.96,0.18,0.93,0.00,-0.05,0.01,0.16,0.00,0.48,0.00
MV107,32.67,1.33,0.00,0.00,3.99,0.00,0.00,3.99,6.01,0.00,0.00,11.99,5.32,163.94,25.09,44.37,27.03,18.69,12.06,48.96,0.50,15.82,1.49,36.65,3.56,23.39,2.54,105.95,14.40,2.80,0.19,0.94,0.00,-0.04,0.01,0.18,0.01,0.50,0.01
MV108,38.00,2.00,0.00,0.00,0.00,0.00,0.00,25.35,0.68,0.00,0.00,10.03,0.00,259.93,24.16,61.55,30.13,27.44,15.18,48.84,0.46,15.26,1.33,35.49,3.33,22.55,2.33,87.05,13.26,2.98,0.17,0.93,0.02,-0.05,0.01,0.14,0.01,0.44,0.03
MV109,32.00,1.33,0.00,0.00,1.34,0.00,0.00,0.00,19.33,0.00,0.00,10.02,0.00,205.61,33.60,41.08,25.14,16.13,13.46,48.93,0.51,15.21,1.54,35.41,3.65,22.74,2.61,91.06,15.45,3.10,0.20,0.95,0.00,-0.05,0.00,0.17,0.01,0.49,0.01
MV110,41.33,4.67,0.66,0.00,0.66,0.00,0.66,1.98,0.00,0.00,1.98,30.63,0.00,232.27,31.50,42.48,24.84,15.86,13.60,48.75,0.54,13.22,1.67,30.57,4.16,19.19,3.13,90.39,17.09,2.64,0.21,0.93,0.00,-0.06,0.00,0.17,0.01,0.48,0.02
MV111,42.00,2.67,0.67,0.00,0.67,0.00,0.00,1.34,0.00,6.01,6.01,24.65,0.00,206.26,36.06,43.97,26.58,13.21,10.91,49.13,0.49,15.20,1.62,36.03,3.74,22.64,2.81,104.67,15.27,2.56,0.19,0.92,0.00,-0.06,0.01,0.17,0.03,0.49,0.06
MV112,16.00,1.33,0.00,0.67,4.00,0.67,0.00,2.67,0.00,0.00,0.00,3.98,2.67,144.28,28.13,30.30,19.33,11.34,12.06,48.98,0.52,15.58,1.51,37.97,3.60,24.04,2.58,111.58,15.40,2.91,0.21,0.93,0.01,-0.06,0.00,0.14,0.03,0.45,0.06
MV113,24.00,2.67,0.00,0.00,1.34,0.00,1.34,5.33,6.67,0.00,0.00,6.67,0.00,167.54,30.90,34.41,21.72,12.50,12.43,48.89,0.53,15.55,1.56,34.43,3.78,21.47,2.74,96.17,15.60,2.89,0.21,0.94,0.00,-0.05,0.01,0.17,0.01,0.51,0.02
