Plot,Total,Dead,Ash,Buckthorn,Blackcherry,Boxelder,Americanelm,Redoak,Whiteoak,Redpine,Whitepine,Otherbroadleaf,Otherneedles,AGB,BA,DBH,Ht,CL,CW,C,C_sd,Cellulose,Cellulose_sd,Fiber,Fiber_sd,Lig,Lig_sd,LMA,LMA_sd,N,N_sd,NDVI,NDVI_sd,PRI,PRI_sd,NDWI,NDWI_sd,NDII,NDII_sd
DC32,27.60,3.60,0.00,0.00,0.80,0.00,0.00,3.20,5.60,0.00,0.00,14.38,0.00,305.49,23.03,56.72,26.49,20.98,18.92,48.39,0.64,13.67,1.94,30.49,4.78,19.09,3.38,80.40,19.31,2.95,0.26,0.94,0.00,-0.06,0.01,0.18,0.02,0.50,0.03
DC40,30.00,2.80,2.79,1.59,2.40,0.00,0.39,4.80,3.99,0.00,0.00,11.19,0.00,246.99,22.59,54.51,26.08,22.19,14.44,48.72,0.48,14.95,1.39,32.88,3.27,21.27,2.30,88.58,13.88,3.11,0.18,0.93,0.00,-0.05,0.01,0.17,0.01,0.48,0.01
DC41,31.60,0.40,0.00,0.41,7.62,0.41,0.00,9.99,1.99,0.00,0.00,10.81,0.00,162.49,24.70,38.54,21.33,14.91,12.68,49.00,0.38,15.63,1.07,36.86,2.63,22.84,1.82,104.85,10.43,2.63,0.13,0.93,0.01,-0.05,0.00,0.15,0.01,0.46,0.01
DC42,46.40,4.40,0.00,0.00,0.42,0.42,0.42,0.00,0.00,5.61,34.38,0.79,0.00,170.95,35.25,42.84,26.53,15.06,8.25,49.37,0.42,17.05,1.14,40.09,2.83,24.03,2.00,149.98,11.09,1.86,0.14,0.90,0.01,-0.04,0.01,0.18,0.02,0.52,0.03
DC43,24.80,0.80,0.79,3.20,0.00,2.41,0.00,0.00,0.00,0.00,0.00,17.58,0.00,174.03,30.99,41.27,25.73,16.11,13.20,48.44,0.72,14.85,2.19,30.88,5.27,18.21,3.88,77.86,20.60,2.49,0.26,0.93,0.00,-0.06,0.01,0.21,0.00,0.55,0.01
DC44,32.80,0.80,4.00,0.00,3.21,0.39,0.00,17.19,3.21,0.00,0.00,4.00,0.00,244.49,29.99,47.34,25.86,17.40,14.44,49.04,0.42,15.78,1.19,34.86,3.12,22.28,2.14,89.88,11.61,2.90,0.16,0.92,0.00,-0.05,0.01,0.15,0.01,0.45,0.01
DC45,29.20,4.00,0.00,0.00,1.20,0.79,1.99,0.00,20.41,0.00,0.00,0.79,0.00,192.15,20.58,54.47,25.17,22.16,13.46,49.10,0.65,17.89,2.02,41.76,4.71,24.44,3.35,136.07,21.55,1.53,0.26,0.97,0.01,0.08,0.03,0.33,0.03,0.66,0.02
DC50,34.40,1.60,0.41,0.00,1.20,0.00,0.00,5.61,0.00,0.79,4.82,18.47,1.62,213.25,32.21,52.03,28.64,18.79,12.18,48.91,0.51,15.95,1.46,36.60,3.55,22.98,2.55,113.53,14.87,2.61,0.19,0.91,0.01,-0.04,0.01,0.18,0.02,0.49,0.02
DC51,40.40,1.60,0.40,0.00,1.62,4.00,0.40,0.00,0.00,32.40,0.00,0.00,0.00,129.46,33.53,26.84,16.87,8.91,6.55,49.22,0.57,17.19,1.63,39.65,3.95,23.66,2.90,162.64,15.94,1.83,0.22,0.90,0.01,-0.05,0.00,0.22,0.01,0.57,0.02
DC52,48.00,4.00,0.38,0.38,0.00,0.00,0.00,1.58,0.38,2.40,38.78,0.00,0.00,187.79,36.69,41.12,25.86,12.55,8.00,49.31,0.43,17.06,1.20,39.08,2.92,23.92,2.07,140.37,11.13,2.06,0.15,0.91,0.01,-0.04,0.01,0.19,0.00,0.53,0.01
DC54,30.00,9.20,0.00,0.00,3.21,0.00,0.00,2.01,13.59,0.00,0.00,2.01,0.00,173.91,24.17,42.30,23.20,17.03,12.81,49.44,0.28,15.73,0.84,36.50,1.99,22.43,1.41,101.43,8.15,2.64,0.10,0.91,0.01,-0.05,0.01,0.12,0.01,0.41,0.02
DC55,22.40,3.20,0.40,0.00,2.40,0.00,3.20,0.81,7.19,0.00,0.00,5.20,0.00,177.58,20.83,47.33,24.22,19.40,12.55,49.45,0.31,16.28,0.90,38.58,2.13,24.01,1.47,102.97,8.62,2.81,0.11,0.92,0.01,-0.04,0.01,0.11,0.02,0.41,0.03
DC56,22.00,2.80,0.00,0.00,0.40,0.00,0.79,1.61,15.60,0.00,0.00,0.79,0.00,178.47,22.45,43.71,24.16,17.83,13.07,49.51,0.30,16.03,0.88,37.32,2.09,23.44,1.46,101.21,8.08,2.75,0.10,0.91,0.01,-0.05,0.01,0.11,0.02,0.40,0.03
DC60,38.80,5.60,0.00,1.20,2.79,0.00,0.39,4.38,0.39,7.60,13.62,2.83,0.00,178.70,28.44,43.50,26.53,17.37,9.78,49.19,0.50,16.21,1.53,37.16,3.70,23.12,2.75,120.73,14.51,2.33,0.18,0.92,0.01,-0.04,0.01,0.18,0.01,0.51,0.02
DC61,28.80,6.80,0.00,2.39,1.61,0.00,0.00,5.21,1.21,0.00,0.00,11.61,0.00,172.27,20.28,45.14,24.79,18.77,12.18,48.93,0.50,15.38,1.56,36.84,3.61,23.80,2.68,90.58,15.42,2.90,0.18,0.93,0.01,-0.05,0.01,0.12,0.03,0.42,0.04
DC62,28.80,3.20,0.40,6.80,3.20,0.00,0.00,5.21,1.21,0.00,0.00,8.78,0.00,154.40,27.20,36.76,23.47,14.59,11.70,48.99,0.47,15.72,1.38,37.08,3.28,24.11,2.39,96.35,13.37,2.88,0.16,0.94,0.00,-0.06,0.01,0.15,0.01,0.45,0.03
DC63,27.20,4.00,0.00,2.39,5.60,0.00,0.00,4.41,0.00,0.00,0.00,10.83,0.00,157.32,23.21,41.90,25.10,17.25,11.70,48.80,0.53,15.03,1.66,34.39,3.94,21.97,2.90,88.26,16.28,2.77,0.20,0.94,0.00,-0.05,0.01,0.17,0.02,0.49,0.03
DC64,28.40,2.00,0.00,0.00,0.40,0.00,0.00,3.61,2.41,0.00,0.00,2.78,17.21,150.96,29.76,38.88,24.08,15.53,9.49,49.69,0.37,17.01,1.05,40.71,2.44,24.99,1.76,144.01,9.89,1.99,0.12,0.91,0.01,-0.05,0.01,0.15,0.02,0.46,0.03
DC65,24.40,5.60,0.81,0.00,3.61,0.00,2.00,0.00,0.81,0.39,0.00,11.18,0.00,162.37,21.09,40.45,21.67,16.35,12.81,48.10,0.61,14.64,1.75,32.39,4.39,20.78,3.05,73.04,16.99,3.10,0.23,0.93,0.01,-0.05,0.01,0.15,0.02,0.44,0.03
DC66,34.00,8.00,0.41,0.00,2.41,0.00,1.60,0.00,7.62,0.00,0.00,14.01,0.00,217.20,26.87,54.56,27.83,22.17,13.87,48.63,0.52,14.92,1.53,32.99,3.73,21.01,2.63,80.49,14.92,2.95,0.19,0.93,0.00,-0.05,0.01,0.16,0.01,0.47,0.03
DC67,27.60,2.40,3.59,1.60,0.00,2.79,0.00,0.00,0.00,0.80,0.00,15.21,1.19,167.40,25.23,43.59,23.69,17.04,11.59,48.48,0.53,14.49,1.45,32.07,3.77,19.09,2.67,84.23,15.39,2.79,0.21,0.92,0.01,-0.06,0.01,0.16,0.01,0.48,0.02
DC68,28.80,2.40,4.81,0.00,1.21,0.40,0.40,0.40,0.00,0.81,1.21,8.44,8.81,151.88,22.66,40.56,22.83,16.52,9.39,48.76,0.67,17.50,1.85,39.92,4.49,25.15,3.16,133.98,18.86,2.30,0.24,0.91,0.02,-0.05,0.01,0.19,0.06,0.47,0.09
DC69,27.20,4.00,2.01,0.00,4.00,0.00,0.79,2.80,5.20,0.00,0.00,8.38,0.00,149.60,26.99,35.52,20.44,12.80,10.49,48.95,0.48,15.33,1.39,35.24,3.47,22.63,2.44,90.39,14.08,3.00,0.18,0.93,0.01,-0.05,0.01,0.15,0.03,0.47,0.05
DC70,32.40,4.00,1.20,1.20,2.79,0.39,0.00,1.20,17.20,0.00,0.81,3.60,0.00,163.42,27.11,38.99,21.83,13.98,9.58,48.93,0.51,15.59,1.54,34.50,3.75,21.65,2.65,86.06,14.98,3.10,0.20,0.93,0.01,-0.04,0.01,0.16,0.01,0.48,0.01
DC71,37.20,6.40,0.00,0.00,0.00,0.00,0.00,10.01,5.62,0.00,0.00,15.21,0.00,217.46,27.50,45.74,26.33,18.77,14.01,48.74,0.50,14.61,1.59,33.39,3.72,20.62,2.70,86.04,14.96,2.82,0.19,0.94,0.00,-0.05,0.01,0.17,0.01,0.50,0.02
DC72,41.60,3.20,0.00,1.21,0.42,3.62,0.00,0.00,0.00,21.59,10.40,1.21,0.00,134.09,34.00,31.82,21.72,11.04,6.30,49.78,0.55,17.60,1.61,43.27,3.90,25.83,2.86,187.17,16.48,1.66,0.22,0.91,0.01,-0.04,0.00,0.19,0.00,0.54,0.01
DC73,51.60,4.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.41,39.99,6.81,0.00,191.30,34.57,47.19,28.31,16.70,7.92,49.36,0.41,16.65,1.11,39.25,2.86,23.86,2.03,144.15,11.14,1.90,0.15,0.91,0.00,-0.04,0.01,0.18,0.01,0.52,0.01
DC74,40.40,5.60,0.00,0.00,4.40,0.00,0.40,0.40,0.00,5.21,23.59,0.81,0.00,206.21,30.31,43.83,26.95,16.84,11.47,49.26,0.42,17.09,1.16,39.77,2.83,24.37,2.00,140.49,11.12,2.04,0.14,0.91,0.01,-0.04,0.01,0.18,0.02,0.52,0.03
DC75,34.80,1.60,0.77,0.00,0.00,0.00,0.38,0.00,0.00,2.78,29.20,0.00,0.00,140.60,36.75,31.22,20.58,11.29,8.17,49.54,0.38,17.01,1.04,39.19,2.66,23.95,1.86,152.24,10.60,1.89,0.14,0.90,0.01,-0.05,0.00,0.17,0.02,0.50,0.04
DC76,31.60,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.41,9.99,0.41,0.00,125.74,42.13,25.92,17.75,8.62,7.61,50.03,0.48,18.12,1.37,43.09,3.36,26.00,2.44,191.10,14.14,1.55,0.19,0.89,0.01,-0.04,0.01,0.20,0.01,0.56,0.02
